# NODES
# id,label,type,lat,lng,city
N1,Node 1,trail,40.759,-107.9324,San Francisco
N2,Node 2,trail,35.3783,-119.8912,Los Angeles
N3,Node 3,bus,30.3829,-100.0587,Chicago
N4,Node 4,trail,32.9762,-101.9021,San Francisco
N5,Node 5,subway,31.792,-91.3451,San Francisco
N6,Node 6,bus,39.8625,-89.6191,San Francisco
N7,Node 7,subway,38.5049,-79.2184,Atlanta
N8,Node 8,trail,44.8608,-112.1612,Los Angeles
N9,Node 9,subway,33.9482,-75.7408,Los Angeles
N10,Node 10,subway,31.4614,-84.9535,Chicago
N11,Node 11,subway,44.7451,-113.6801,New York
N12,Node 12,bus,38.1119,-91.8576,Atlanta
N13,Node 13,subway,42.0647,-106.8747,Los Angeles
N14,Node 14,trail,43.4614,-87.4599,San Francisco
N15,Node 15,trail,34.6714,-84.4038,San Francisco
N16,Node 16,subway,43.0315,-94.2343,New York
N17,Node 17,subway,31.026,-109.8315,Los Angeles
N18,Node 18,subway,39.8285,-102.6965,New York
N19,Node 19,subway,44.8556,-90.1203,Los Angeles
N20,Node 20,bus,41.3508,-86.5102,San Francisco
N21,Node 21,subway,37.2178,-108.4251,New York
N22,Node 22,trail,41.0206,-94.344,New York
N23,Node 23,bus,44.081,-97.2755,New York
N24,Node 24,bus,43.1695,-95.1986,Chicago
N25,Node 25,subway,42.774,-94.8193,New York
N26,Node 26,subway,40.3397,-75.8229,Chicago
N27,Node 27,subway,39.4093,-77.4566,Atlanta
N28,Node 28,bus,36.0071,-104.0604,Atlanta
N29,Node 29,trail,38.9385,-83.3888,New York
N30,Node 30,bus,44.6008,-94.0291,New York
N31,Node 31,subway,44.5171,-80.8546,New York
N32,Node 32,trail,39.8661,-119.7494,Chicago
N33,Node 33,trail,44.4056,-77.9302,Los Angeles
N34,Node 34,trail,41.5684,-89.2633,Atlanta
N35,Node 35,subway,44.8878,-105.3467,San Francisco
N36,Node 36,subway,31.9108,-101.7279,San Francisco
N37,Node 37,trail,36.4846,-93.0815,New York
N38,Node 38,subway,44.0844,-107.3879,Los Angeles
N39,Node 39,subway,36.2492,-111.1314,Atlanta
N40,Node 40,subway,39.0401,-116.9474,Los Angeles
N41,Node 41,bus,42.4705,-115.24,Chicago
N42,Node 42,bus,34.5749,-111.5507,Chicago
N43,Node 43,bus,44.6646,-96.261,Chicago
N44,Node 44,subway,42.6972,-117.5861,Los Angeles
N45,Node 45,bus,40.4095,-77.755,Chicago
N46,Node 46,subway,36.0069,-75.6967,Atlanta
N47,Node 47,trail,37.0223,-93.0112,Atlanta
N48,Node 48,subway,32.55,-113.0858,San Francisco
N49,Node 49,bus,36.7909,-118.9603,New York
N50,Node 50,trail,37.0948,-86.5804,New York

# EDGES
# source,target,distance,time,mode,cost
N49,N9,4.1,4.2,bus,1.26
N49,N9,4.9,5.5,bus,0.88
N49,N9,4.5,3.4,bus,1.76
N10,N26,44.2,56.6,trail,4.94
N10,N26,53.0,73.6,trail,3.46
N10,N26,48.6,45.3,trail,6.92
N29,N25,40.4,56.9,bus,4.08
N29,N25,48.5,74.0,bus,2.86
N29,N25,44.4,45.5,bus,5.71
N25,N1,2.8,4.1,trail,0.81
N25,N1,3.4,5.3,trail,0.57
N25,N1,3.1,3.3,trail,1.13
N41,N17,8.6,7.1,subway,2.64
